1958	ABALONES	Diving Outfits, Abalone	383.3	845,100	422,488
1958	ANCHOVIES	Encircling Nets (Purse)	5,156.7	11,368,400	147,336
1958	ANCHOVIES	Dip Nets, Common	19.2	42,300	549
1958	ANCHOVIES	Brail Or Scoop	87.1	192,000	2,496
1958	BARRACUDAS	Entangling Nets (Gill) Unspc	347.3	765,600	96,230
1958	BARRACUDAS	Troll & Hand Lines Cmb	67.9	149,700	18,712
1958	BONITO, PACIFIC	Encircling Nets (Purse)	2,511.8	5,537,500	216,154
1958	BONITO, PACIFIC	Troll & Hand Lines Cmb	4.2	9,300	379
1958	CABEZON	Trawls, Unspecified	8.2	18,000	890
1958	CABEZON	Troll & Hand Lines Cmb	0.7	1,500	57
1958	CARP, COMMON	Entangling Nets (Gill) Unspc	316.1	696,900	34,472
1958	CLAMS OR BIVALVES	Shovels	1.5	3,300	3,870
1958	CRAB, ATLANTIC ROCK	Pots, Unclassified	70.8	156,000	10,864
1958	CRAB, DUNGENESS	Trawls, Unspecified	35.2	77,600	9,084
1958	CRAB, DUNGENESS	Pots, Unclassified	7,803.8	17,204,200	2,051,408
1958	CRAB, DUNGENESS	Dip Nets, Common	0.6	1,400	168
1958	CRABS 	Pots, Unclassified	5.0	11,000	423
1958	FINFISHES, UNC FOR FOOD	Trawls, Unspecified	5.5	12,200	302
1958	FINFISHES, UNC FOR FOOD	Entangling Nets (Gill) Unspc	4.7	10,300	1,554
1958	FLATFISH	Trawls, Unspecified	213.1	469,800	22,761
1958	FLATFISH	Troll & Hand Lines Cmb	0.6	1,300	62
1958	FLOUNDER, ARROWTOOTH	Trawls, Unspecified	324.9	716,200	18,347
1958	FLOUNDER, ARROWTOOTH	Troll & Hand Lines Cmb	0.1	200	14
1958	FLOUNDER, PACIFIC, SANDDAB	Trawls, Unspecified	181.3	399,600	23,959
1958	FLOUNDER, PACIFIC, SANDDAB	Entangling Nets (Gill) Unspc	3.2	7,000	1,545
1958	FLYINGFISHES	Entangling Nets (Gill) Unspc	17.1	37,700	4,946
1958	GROUPERS	Troll & Hand Lines Cmb	146.4	322,800	54,386
1958	HAKE, PACIFIC (WHITING)	Trawls, Unspecified	514.9	1,135,200	19,454
1958	HALFMOON	Entangling Nets (Gill) Unspc	2.0	4,500	903
1958	HALIBUT, CALIFORNIA	Trawls, Unspecified	42.6	93,900	20,721
1958	HALIBUT, CALIFORNIA	Entangling Nets (Gill) Unspc	74.6	164,500	41,308
1958	HALIBUT, CALIFORNIA	Troll & Hand Lines Cmb	4.1	9,100	2,184
1958	HALIBUT, PACIFIC	Trawls, Unspecified	0.0	100	24
1958	HALIBUT, PACIFIC	Troll & Hand Lines Cmb	3.7	8,200	2,012
1958	HERRING, PACIFIC	Haul Seines, Beach	81.6	180,000	1,998
1958	HERRING, PACIFIC	Encircling Nets (Purse)	816.5	1,800,000	31,125
