1963	ABALONES	Diving Outfits, Abalone	394.1	868,800	625,734
1963	ALLIGATOR, AMERICAN	Harpoons, Other	1,187.0	2,616,800	151,656
1963	ANCHOVIES	Purse Seines, Other	2,073.1	4,570,400	77,585
1963	BARRACUDAS	Purse Seines, Other	4.9	10,700	1,982
1963	BARRACUDAS	Gill Nets, Drift, Other	149.2	329,000	53,542
1963	BARRACUDAS	Troll & Hand Lines Cmb	17.7	39,100	6,494
1963	BONITO, ATLANTIC	Purse Seines, Other	1,528.6	3,369,900	94,576
1963	BONITO, ATLANTIC	Troll & Hand Lines Cmb	296.0	652,600	18,110
1963	CABEZON	Troll & Hand Lines Cmb	1.3	2,800	205
1963	CARP, COMMON	Haul Seines, Beach	101.4	223,600	10,540
1963	CARP, COMMON	Pots And Traps, Crab, Other	14.3	31,500	1,512
1963	CLAM, QUAHOG	Shovels	0.4	900	600
1963	CRAB, DUNGENESS	Otter Trawl Bottom, Fish	5.3	11,700	4,090
1963	CRAB, DUNGENESS	Pots And Traps, Crab, Other	879.9	1,939,800	684,409
1963	CRAB, RED ROCK	Pots And Traps, Crab, Other	109.1	240,600	21,842
1963	FINFISHES, UNC BAIT AND ANIMAL FOOD	Otter Trawl Bottom, Fish	469.0	1,034,000	20,606
1963	FINFISHES, UNC FOR FOOD	Otter Trawl Bottom, Fish	0.6	1,300	48
1963	FINFISHES, UNC FOR FOOD	Gill Nets, Drift, Other	3.9	8,600	569
1963	FINFISHES, UNC FOR FOOD	Troll & Hand Lines Cmb	2.9	6,500	454
1963	FLATFISH	Otter Trawl Bottom, Fish	231.7	510,800	29,461
1963	FLATFISH	Gill Nets, Drift, Other	2.4	5,300	530
1963	FLATFISH	Troll & Hand Lines Cmb	2.4	5,200	511
1963	FLOUNDER, ARROWTOOTH	Otter Trawl Bottom, Fish	50.4	111,100	6,214
1963	FLOUNDER, ARROWTOOTH	Troll & Hand Lines Cmb	1.4	3,000	171
1963	FLOUNDER, PACIFIC, SANDDAB	Otter Trawl Bottom, Fish	249.0	548,900	36,766
1963	FLOUNDER, PACIFIC, SANDDAB	Troll & Hand Lines Cmb	3.1	6,900	625
1963	FLYINGFISHES	Purse Seines, Other	5.3	11,600	856
1963	FLYINGFISHES	Gill Nets, Drift, Other	12.7	28,000	2,064
1963	FLYINGFISHES	Brail Or Scoop	3.2	7,000	516
1963	GROUPERS	Troll & Hand Lines Cmb	105.9	233,500	50,949
1963	HAKE, RED	Otter Trawl Bottom, Fish	63.2	139,300	2,218
1963	HAKE, RED	Troll & Hand Lines Cmb	0.2	400	8
1963	HALFMOON	Gill Nets, Drift, Other	1.8	4,000	861
1963	HALFMOON	Troll & Hand Lines Cmb	2.1	4,700	1,012
1963	HALIBUT, CALIFORNIA	Otter Trawl Bottom, Fish	143.8	317,100	70,501
1963	HALIBUT, CALIFORNIA	Gill Nets, Drift, Other	160.9	354,800	77,710
1963	HALIBUT, CALIFORNIA	Troll & Hand Lines Cmb	203.4	448,500	95,974
1963	HALIBUT, PACIFIC	Otter Trawl Bottom, Fish	0.0	100	20
1963	HALIBUT, PACIFIC	Troll & Hand Lines Cmb	2.0	4,400	1,200
1963	HERRING, SEA	Haul Seines, Beach	123.1	271,400	8,355
1963	HERRING, SEA	Purse Seines, Other	123.9	273,100	7,560
1963	HERRING, SEA	Gill Nets, Drift, Other	27.2	60,000	4,362
1963	HERRING, SEA	Brail Or Scoop	11.6	25,600	1,415
1963	JACK MACKEREL	Purse Seines, Other	43,289.8	95,436,800	1,989,014
1963	JACK MACKEREL	Otter Trawl Bottom, Fish	0.7	1,600	42
1963	JACK MACKEREL	Gill Nets, Drift, Other	0.1	200	6
1963	JACK MACKEREL	Brail Or Scoop	1.7	3,700	84
1963	LINGCOD	Otter Trawl Bottom, Fish	388.0	855,400	63,085
1963	LINGCOD	Troll & Hand Lines Cmb	125.9	277,600	25,275
1963	LOBSTER, CALIFORNIA SPINY	Pots And Traps, Crab, Other	265.0	584,200	381,375
1963	MACKEREL, CHUB	Purse Seines, Other	17,874.5	39,406,200	843,150
1963	MACKEREL, CHUB	Gill Nets, Drift, Other	4.5	9,900	213
1963	MACKEREL, CHUB	Troll & Hand Lines Cmb	5.0	11,000	238
