1977	ABALONES	Diving Outfits, Abalone	130.2	287,080	1,387,967
1977	ANCHOVIES	Haul Seines, Beach	3.6	8,000	430
1977	ANCHOVIES	Encircling Nets (Purse)	101,127.3	222,945,300	5,051,549
1977	BARRACUDAS	Entangling Nets (Gill) Unspc	31.7	69,900	33,505
1977	BARRACUDAS	Lines Hand, Other	3.3	7,200	3,714
1977	BONITO, ATLANTIC	Encircling Nets (Purse)	9,744.6	21,482,900	4,153,084
1977	BONITO, ATLANTIC	Pots And Traps, Fish	0.4	900	249
1977	BONITO, ATLANTIC	Entangling Nets (Gill) Unspc	50.3	110,800	19,352
1977	BONITO, ATLANTIC	Lines Hand, Other	432.4	953,200	185,551
1977	CABEZON	Trawls, Unspecified	1.4	3,000	309
1977	CABEZON	Pots And Traps, Spiny Lobster	0.0	100	12
1977	CABEZON	Entangling Nets (Gill) Unspc	2.3	5,000	791
1977	CABEZON	Lines Hand, Other	1.8	3,900	645
1977	CARP, COMMON	Haul Seines, Beach	0.4	800	548
1977	CATFISHES & BULLHEADS	Haul Seines, Beach	4.0	8,800	1,764
1977	CLAMS OR BIVALVES	Tongs and Grabs, Oyster	0.0	100	22
1977	CLAMS OR BIVALVES	By Hand, Other	0.5	1,200	433
1977	COD, PACIFIC	Trawls, Unspecified	0.0	68	14
1977	CRAB, DUNGENESS	Trawls, Unspecified	16.6	36,600	19,043
1977	CRAB, DUNGENESS	Pots And Traps, Cmb	5.4	11,900	3,916
1977	CRAB, DUNGENESS	Pots And Traps, Crab, Dungens	15,240.0	33,598,000	15,725,768
1977	CRAB, DUNGENESS	Dip Nets, Common	0.5	1,200	538
1977	CRAB, RED ROCK	Trawls, Unspecified	0.1	300	101
1977	CRAB, RED ROCK	Pots And Traps, Cmb	0.3	700	111
1977	CRAB, RED ROCK	Pots And Traps, Crab, Dungens	350.5	772,700	224,630
1977	CRAB, RED ROCK	Pots And Traps, Fish	119.6	263,700	76,888
1977	CRAB, RED ROCK	Pots And Traps, Spiny Lobster	14.3	31,600	11,171
