1952	ABALONES	Diving Outfits, Abalone	434.0	956,800	431,094
1952	ANCHOVIES	Encircling Nets (Purse)	25,303.0	55,782,900	1,153,156
1952	BARRACUDAS	Encircling Nets (Purse)	569.8	1,256,100	198,344
1952	BARRACUDAS	Entangling Nets (Gill) Unspc	142.7	314,700	49,021
1952	BARRACUDAS	Troll & Hand Lines Cmb	237.4	523,400	82,664
1952	BONITO, PACIFIC	Encircling Nets (Purse)	880.8	1,941,800	186,695
1952	BONITO, PACIFIC	Troll & Hand Lines Cmb	91.0	200,700	19,897
1952	CABEZON	Trawls, Unspecified	7.8	17,200	520
1952	CABEZON	Entangling Nets (Gill) Unspc	0.3	700	22
1952	CABEZON	Troll & Hand Lines Cmb	7.5	16,600	532
1952	CARP, COMMON	Encircling Nets (Purse)	359.4	792,300	42,298
1952	CARP, COMMON	Fyke And Hoop Nets, Fish	5.3	11,600	681
1952	CARP, COMMON	Entangling Nets (Gill) Unspc	2.6	5,800	341
1952	CATFISHES & BULLHEADS	Fyke And Hoop Nets, Fish	81.0	178,600	36,467
1952	CLAMS OR BIVALVES	Shovels	6.6	14,500	18,492
1952	CRAB, ATLANTIC ROCK	Pots And Traps, Other	7.7	17,000	715
1952	CRAB, DUNGENESS	Trawls, Unspecified	342.2	754,400	111,041
1952	CRAB, DUNGENESS	Pots And Traps, Other	5,552.3	12,240,500	1,781,455
1952	CRAB, DUNGENESS	Entangling Nets (Gill) Unspc	1.1	2,500	515
1952	CROAKER, PACIFIC WHITE	Encircling Nets (Purse)	1,224.3	2,699,100	99,732
1952	CROAKER, PACIFIC WHITE	Trawls, Unspecified	13.0	28,600	1,576
1952	CROAKER, PACIFIC WHITE	Entangling Nets (Gill) Unspc	50.3	110,800	9,214
1952	CROAKER, PACIFIC WHITE	Troll & Hand Lines Cmb	197.3	435,000	17,293
1952	FINFISHES, UNC GENERAL	Encircling Nets (Purse)	0.7	1,500	79
1952	FINFISHES, UNC GENERAL	Trawls, Unspecified	22.9	50,500	1,906
1952	FINFISHES, UNC GENERAL	Fyke And Hoop Nets, Fish	0.4	800	35
1952	FINFISHES, UNC GENERAL	Entangling Nets (Gill) Unspc	1.8	4,000	220
1952	FINFISHES, UNC GENERAL	Troll & Hand Lines Cmb	38.8	85,600	3,025
1952	FLATFISH	Trawls, Unspecified	546.9	1,205,700	62,977
