1950	ABALONES	Diving Outfits, Abalone	358.8	791,000	369,244
1950	ANCHOVIES	Encircling Nets (Purse)	2,213.0	4,878,700	84,372
1950	BARRACUDAS	Encircling Nets (Purse)	438.5	966,800	147,966
1950	BARRACUDAS	Entangling Nets (Gill) Unspc	316.9	698,600	97,202
1950	BARRACUDAS	Troll & Hand Lines Cmb	269.0	593,000	83,997
1950	BONITO, PACIFIC	Encircling Nets (Purse)	224.4	494,800	48,023
1950	BONITO, PACIFIC	Entangling Nets (Gill) Unspc	1.5	3,300	328
1950	BONITO, PACIFIC	Troll & Hand Lines Cmb	89.6	197,500	19,352
1950	CABEZON	Trawls, Unspecified	5.8	12,700	326
1950	CABEZON	Pots And Traps, Other	0.2	400	28
1950	CABEZON	Entangling Nets (Gill) Unspc	0.6	1,400	37
1950	CABEZON	Troll & Hand Lines Cmb	3.3	7,200	165
1950	CARP, COMMON	Encircling Nets (Purse)	452.9	998,500	21,398
1950	CARP, COMMON	Fyke And Hoop Nets, Fish	23.1	51,000	3,264
1950	CARP, COMMON	Entangling Nets (Gill) Unspc	7.5	16,600	788
1950	CATFISHES & BULLHEADS	Fyke And Hoop Nets, Fish	135.9	299,500	57,080
1950	CLAMS OR BIVALVES	Shovels	6.3	13,800	10,719
1950	CRAB, DUNGENESS	Trawls, Unspecified	189.1	417,000	52,630
1950	CRAB, DUNGENESS	Pots And Traps, Other	5,126.4	11,301,700	1,367,857
1950	CRAB, DUNGENESS	Entangling Nets (Gill) Unspc	1.7	3,800	550
1950	CROAKER, PACIFIC WHITE	Encircling Nets (Purse)	222.7	491,000	23,216
1950	CROAKER, PACIFIC WHITE	Trawls, Unspecified	2.4	5,400	287
1950	CROAKER, PACIFIC WHITE	Entangling Nets (Gill) Unspc	34.6	76,200	3,540
1950	CROAKER, PACIFIC WHITE	Troll & Hand Lines Cmb	78.7	173,600	8,526
1950	CROAKER, PACIFIC WHITE	Brail Or Scoop	0.5	1,200	52
1950	FINFISHES, UNC GENERAL	Encircling Nets (Purse)	0.5	1,000	115
1950	FINFISHES, UNC GENERAL	Trawls, Unspecified	21.3	46,900	2,459
1950	FINFISHES, UNC GENERAL	Fyke And Hoop Nets, Fish	0.2	500	212
1950	FINFISHES, UNC GENERAL	Pots And Traps, Other	0.5	1,100	150
