1970	ABALONES	Diving Outfits, Abalone	263.1	580,100	947,516
1970	ALLIGATOR, AMERICAN	Harpoons, Whale	300.7	663,000	44,212
1970	ANCHOVIES	Purse Seines, Anchovy	87,310.7	192,485,100	2,157,184
1970	BARRACUDAS	Purse Seines, Barracuda	4.0	8,800	2,473
1970	BARRACUDAS	Gill Nets, Other	6.3	13,800	3,895
1970	BARRACUDAS	Troll & Hand Lines Cmb	0.9	2,000	558
1970	BONITO, ATLANTIC	Purse Seines, Other	3,634.1	8,011,700	567,296
1970	BONITO, ATLANTIC	Troll & Hand Lines Cmb	535.5	1,180,600	84,059
1970	CABEZON	Troll & Hand Lines Cmb	4.8	10,500	597
1970	CARP, COMMON	Haul Seines, Beach	131.2	289,200	20,189
1970	CARP, COMMON	Pots And Traps, Crab, Dungens	43.7	96,400	6,729
1970	CRAB, DUNGENESS	Otter Trawl Bottom, Fish	10.8	23,900	7,316
1970	CRAB, DUNGENESS	Pots And Traps, Crab, Dungens	6,981.5	15,391,400	3,938,375
1970	CRAB, RED ROCK	Pots And Traps, Crab, Dungens	244.0	537,900	59,722
1970	FINFISHES, UNC BAIT AND ANIMAL FOOD	Purse Seines, Other	56.7	125,000	4,185
1970	FINFISHES, UNC BAIT AND ANIMAL FOOD	Otter Trawl Bottom, Fish	479.7	1,057,500	21,146
1970	FINFISHES, UNC BAIT AND ANIMAL FOOD	Gill Nets, Other	469.8	1,035,800	34,735
1970	FINFISHES, UNC BAIT AND ANIMAL FOOD	Troll & Hand Lines Cmb	31.6	69,600	2,410
1970	FINFISHES, UNC FOR FOOD	Haul Seines, Beach	93.6	206,400	61,643
1970	FINFISHES, UNC FOR FOOD	Otter Trawl Bottom, Fish	0.7	1,500	66
1970	FINFISHES, UNC FOR FOOD	Pots And Traps, Crab, Dungens	93.7	206,500	61,643
1970	FINFISHES, UNC FOR FOOD	Gill Nets, Other	0.4	800	154
1970	FINFISHES, UNC FOR FOOD	Troll & Hand Lines Cmb	0.5	1,200	165
1970	FLATFISH	Otter Trawl Bottom, Fish	118.4	261,100	17,154
1970	FLATFISH	Gill Nets, Other	4.4	9,700	849
1970	FLATFISH	Troll & Hand Lines Cmb	3.2	7,000	592
1970	FLOUNDER, ARROWTOOTH	Otter Trawl Bottom, Fish	15.6	34,300	2,173
1970	FLOUNDER, PACIFIC, SANDDAB	Otter Trawl Bottom, Fish	302.9	667,700	69,284
1970	FLOUNDER, PACIFIC, SANDDAB	Gill Nets, Other	4.5	10,000	810
1970	FLOUNDER, PACIFIC, SANDDAB	Troll & Hand Lines Cmb	0.4	800	187
1970	FLYINGFISHES	Purse Seines, Other	11.3	25,000	3,700
1970	FLYINGFISHES	Gill Nets, Other	12.4	27,300	4,067
1970	FLYINGFISHES	Brail Or Scoop	11.9	26,300	3,862
1970	GROUPERS	Troll & Hand Lines Cmb	3.2	7,100	1,786
