1955	ABALONES	Diving Outfits, Abalone	379.8	837,200	423,253
1955	ANCHOVIES	Encircling Nets (Purse)	20,272.0	44,691,600	596,584
1955	BARRACUDAS	Encircling Nets (Purse)	118.3	260,900	40,485
1955	BARRACUDAS	Entangling Nets (Gill) Unspc	217.6	479,800	74,831
1955	BARRACUDAS	Troll & Hand Lines Cmb	180.0	396,900	61,608
1955	BONITO, PACIFIC	Encircling Nets (Purse)	9.6	21,100	1,242
1955	BONITO, PACIFIC	Entangling Nets (Gill) Unspc	9.8	21,500	1,255
1955	BONITO, PACIFIC	Troll & Hand Lines Cmb	42.8	94,400	5,511
1955	CABEZON	Trawls, Unspecified	1.5	3,400	120
1955	CABEZON	Entangling Nets (Gill) Unspc	0.1	200	6
1955	CABEZON	Troll & Hand Lines Cmb	1.5	3,400	123
1955	CARP, COMMON	Encircling Nets (Purse)	320.2	705,900	42,356
1955	CARP, COMMON	Entangling Nets (Gill) Unspc	9.9	21,800	1,309
1955	CLAMS OR BIVALVES	Shovels	5.1	11,200	14,289
1955	CRAB, ATLANTIC ROCK	Pots And Traps, Other	24.5	54,100	3,866
1955	CRAB, DUNGENESS	Trawls, Unspecified	64.1	141,400	21,886
1955	CRAB, DUNGENESS	Pots And Traps, Other	2,710.7	5,975,900	954,007
1955	CRAB, DUNGENESS	Entangling Nets (Gill) Unspc	1.0	2,100	412
1955	CROAKER, PACIFIC WHITE	Encircling Nets (Purse)	154.8	341,200	18,297
1955	CROAKER, PACIFIC WHITE	Trawls, Unspecified	12.3	27,100	1,917
1955	CROAKER, PACIFIC WHITE	Entangling Nets (Gill) Unspc	100.7	221,900	11,336
1955	CROAKER, PACIFIC WHITE	Troll & Hand Lines Cmb	104.2	229,800	11,235
1955	FINFISHES, UNC FOR FOOD	Encircling Nets (Purse)	0.0	100	5
1955	FINFISHES, UNC FOR FOOD	Trawls, Unspecified	1.1	2,500	105
1955	FINFISHES, UNC FOR FOOD	Entangling Nets (Gill) Unspc	0.8	1,700	222
1955	FINFISHES, UNC FOR FOOD	Troll & Hand Lines Cmb	1.8	4,000	503
1955	FLATFISH	Trawls, Unspecified	266.0	586,500	25,339
1955	FLATFISH	Troll & Hand Lines Cmb	28.9	63,700	3,446
1955	FLOUNDER, ARROWTOOTH	Trawls, Unspecified	339.2	747,900	14,975
1955	FLOUNDER, ARROWTOOTH	Troll & Hand Lines Cmb	0.1	300	9
1955	FLOUNDER, PACIFIC, SANDDAB	Trawls, Unspecified	329.2	725,700	36,117
1955	FLOUNDER, PACIFIC, SANDDAB	Entangling Nets (Gill) Unspc	1.4	3,100	233
1955	FLOUNDER, PACIFIC, SANDDAB	Troll & Hand Lines Cmb	23.9	52,700	6,640
1955	FLOUNDERS, RIGHTEYE	Trawls, Unspecified	45.6	100,500	4,380
1955	FLYINGFISHES	Entangling Nets (Gill) Unspc	10.3	22,600	1,869
1955	GROUPERS	Troll & Hand Lines Cmb	111.4	245,500	47,594
1955	HAKE, PACIFIC (WHITING)	Trawls, Unspecified	433.5	955,600	13,358
1955	HAKE, PACIFIC (WHITING)	Troll & Hand Lines Cmb	1.5	3,300	214
1955	HALFMOON	Encircling Nets (Purse)	6.8	15,100	3,700
1955	HALFMOON	Troll & Hand Lines Cmb	8.8	19,300	4,710
1955	HALIBUT, CALIFORNIA	Encircling Nets (Purse)	1.8	4,000	841
1955	HALIBUT, CALIFORNIA	Trawls, Unspecified	57.7	127,100	29,533
1955	HALIBUT, CALIFORNIA	Entangling Nets (Gill) Unspc	147.1	324,200	67,824
1955	HALIBUT, CALIFORNIA	Troll & Hand Lines Cmb	7.1	15,700	3,336
1955	HALIBUT, PACIFIC	Trawls, Unspecified	16.7	36,800	7,549
1955	HALIBUT, PACIFIC	Troll & Hand Lines Cmb	23.9	52,700	10,173
1955	HERRING, PACIFIC	Encircling Nets (Purse)	869.2	1,916,300	49,017
1955	HERRING, PACIFIC	Entangling Nets (Gill) Unspc	15.6	34,400	837
1955	JACK MACKEREL	Encircling Nets (Purse)	14,112.0	31,111,300	612,287
1955	JACK MACKEREL	Trawls, Unspecified	0.6	1,300	76
1955	JACK MACKEREL	Entangling Nets (Gill) Unspc	0.1	300	12
1955	JACK MACKEREL	Troll & Hand Lines Cmb	117.1	258,200	5,530
1955	JACK MACKEREL	Dip Nets, Common	0.0	100	10
1955	JACK MACKEREL	Brail Or Scoop	1,988.4	4,383,600	93,809
1955	LINGCOD	Trawls, Unspecified	314.8	694,100	49,891
1955	LINGCOD	Entangling Nets (Gill) Unspc	1.5	3,400	234
1955	LINGCOD	Troll & Hand Lines Cmb	121.3	267,500	21,369
1955	LOBSTER, CALIFORNIA SPINY	Pots And Traps, Other	376.7	830,500	419,565
1955	LOBSTER, CALIFORNIA SPINY	Entangling Nets (Gill) Unspc	13.0	28,600	14,154
1955	MACKEREL, CHUB	Encircling Nets (Purse)	8,755.3	19,301,900	438,844
1955	MACKEREL, CHUB	Entangling Nets (Gill) Unspc	0.8	1,700	73
1955	MACKEREL, CHUB	Troll & Hand Lines Cmb	117.9	260,000	6,500
